code,name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
500672,NOVARTIND,B,600.80,606.00,595.30,595.60,1003,6.02,83,
543533,EMUDHRA,B,255.90,257.95,252.70,257.20,2352,6.02,130,
543221,ICICITECH,B,30.87,31.33,30.41,31.29,19380,6.02,161,
530315,HINDTIN,X,88.00,91.00,88.00,90.80,6651,6.01,74,
514165,INDIANACRY,X,10.01,10.57,10.01,10.40,57826,6.00,164,
532695,CELEBRITY,B,14.80,15.45,14.01,14.85,39929,5.99,534,
526711,ADARSHPL,X,17.50,18.70,16.75,18.70,32449,5.97,118,
530117,PRIVISCL,A,931.95,945.00,912.80,921.15,642,5.96,142,
539227,LOYAL,B,69.00,69.79,66.11,68.55,8730,5.91,69,
526783,DRAGARWQ,X,920.00,935.00,920.00,935.00,630,5.86,31,
502450,SESHAPAPER,B,240.10,250.05,238.80,248.80,2398,5.86,131,
533477,ENKEIWHEL,X,456.10,479.00,456.10,466.05,1256,5.86,54,
526638,TEXELIN,X,41.52,43.96,41.50,43.05,13723,5.83,109,
501314,PRISMX,X,2.06,2.06,1.96,2.04,289412,5.82,428,
531216,COMFINTE,X,33.90,33.90,31.74,32.53,17926,5.79,111,
539450,SHK,B,113.15,114.00,112.00,112.20,5114,5.77,171,
532341,IZMO,B,81.99,84.10,81.35,83.35,6940,5.75,174,
523850,AXTEL,X,206.00,207.60,205.05,205.10,2790,5.74,32,
540366,RADIOCITY,B,11.40,11.70,11.26,11.48,50131,5.72,1601,
531212,NLFL,X,33.50,35.33,31.50,34.59,17494,5.71,79,
541206,OBCL,B,48.10,51.00,47.90,50.55,11503,5.71,126,
534675,PROZONINTU,B,23.00,23.65,23.00,23.42,24412,5.71,209,
530433,SHIVAAGRO,X,88.40,89.75,85.00,88.90,6554,5.70,138,
500168,GOODYEAR,B,1053.75,1063.00,1045.10,1049.85,540,5.70,89,
532804,TIIL,B,1000.00,1067.95,1000.00,1060.15,540,5.70,177,
538683,SENSEXBEES,A,656.98,656.98,652.50,655.89,871,5.70,75,
542684,PPL,B,151.00,154.45,149.25,152.45,3750,5.69,211,
506222,STYRENIX,B,722.25,755.00,722.20,749.25,762,5.67,225,
506405,DMCC,B,258.00,258.00,238.95,248.65,2274,5.66,293,
504240,DLTNCBL,X,68.10,71.80,64.65,69.63,8532,5.66,55,
532713,SAKUMA,B,12.45,13.25,12.45,12.85,44138,5.66,240,
526747,PGFOILQ,XT,173.90,174.80,167.10,167.10,3251,5.64,22,
542232,SRD,B,130.00,130.00,127.50,128.30,4397,5.63,257,
543358,SANSERA,A,731.40,743.00,728.00,741.05,766,5.63,183,
517544,CENTUM,B,564.85,566.75,533.00,552.70,1017,5.62,176,
526797,GREENPLY,B,134.00,138.65,134.00,137.90,4088,5.61,238,
524280,KOPRAN,B,110.60,114.60,110.60,113.70,4947,5.61,324,
532331,AJANTPHARM,A,1176.10,1181.40,1175.20,1178.00,475,5.60,49,
531761,APOLLOPIPES,B,497.95,504.55,488.70,497.05,1135,5.60,104,
505242,DYNAMATECH,B,2628.95,2628.95,2552.60,2559.95,218,5.59,149,
519421,KSE,XT,1660.00,1680.00,1660.00,1670.00,334,5.57,12,
512161,SECURKLOUD,B,43.00,43.73,40.60,43.05,12934,5.55,188,
526073,GALXBRG,XT,938.00,938.00,920.05,930.00,594,5.53,95,
532741,KAMDHENU,B,332.05,336.05,330.35,332.00,1659,5.53,138,
524667,SOTL,B,253.65,255.00,248.90,250.90,2187,5.49,249,
532351,AKSHOPTFBR,B,9.09,9.14,8.92,9.14,60647,5.49,142,
526473,ELEFLOR,X,6.70,6.99,6.12,6.48,85294,5.48,357,
526173,ANDREWYU,B,21.15,22.20,21.15,21.76,24884,5.46,227,
